semana,tienda_id,categoria,precio_unitario,descuento_pct,inventario_prev,es_temporada_alta,ventas_categoria
43,1,Alimentos,113.56,0.079,187,0,BAJA
43,1,Hogar,856.75,0.008,59,0,BAJA
43,1,Deportes,621.43,0.047,148,0,BAJA
43,2,Electronica,2269.19,0.046,244,0,BAJA
43,2,Ropa,442.54,0.086,246,0,BAJA
43,2,Alimentos,126.53,0.107,171,0,ALTA
43,2,Hogar,842.45,0.01,169,0,BAJA
43,2,Deportes,593.64,0.126,56,0,BAJA
43,3,Electronica,2470.25,0.033,76,0,BAJA
43,3,Ropa,392.31,0.03,119,0,BAJA
43,3,Alimentos,121.61,0.019,107,0,BAJA
43,3,Hogar,731.25,0.062,190,0,BAJA
43,3,Deportes,624.0,0.059,245,0,BAJA
43,4,Electronica,2725.1,0.036,63,0,BAJA
43,4,Ropa,418.52,0.076,205,0,BAJA
43,4,Alimentos,132.42,0.054,187,0,BAJA
43,4,Hogar,694.62,0.105,51,0,BAJA
43,4,Deportes,616.73,0.104,203,0,ALTA
43,5,Electronica,2733.72,0.044,139,0,BAJA
43,5,Ropa,476.04,0.148,95,0,BAJA
43,5,Alimentos,123.95,0.137,81,0,BAJA
43,5,Hogar,816.38,0.041,144,0,BAJA
43,5,Deportes,665.47,0.133,163,0,BAJA
43,6,Electronica,2514.06,0.008,96,0,BAJA
43,6,Ropa,424.38,0.027,150,0,BAJA
43,6,Alimentos,111.29,0.07,76,0,BAJA
43,6,Hogar,888.25,0.106,71,0,BAJA
43,6,Deportes,710.05,0.115,72,0,BAJA
44,1,Electronica,2750.74,0.087,179,0,BAJA
44,1,Ropa,453.88,0.005,177,0,ALTA
44,1,Alimentos,117.66,0.044,159,0,BAJA
44,1,Hogar,845.99,0.119,82,0,BAJA
44,1,Deportes,580.88,0.132,155,0,BAJA
44,2,Electronica,2205.03,0.097,223,0,BAJA
44,2,Ropa,467.02,0.011,72,0,ALTA
44,2,Alimentos,111.27,0.02,102,0,BAJA
44,2,Hogar,906.32,0.092,216,0,BAJA
44,2,Deportes,574.44,0.11,105,0,BAJA
44,3,Electronica,2380.72,0.15,102,0,BAJA
44,3,Ropa,508.14,0.004,189,0,BAJA
44,3,Alimentos,132.11,0.146,245,0,ALTA
44,3,Hogar,877.24,0.097,179,0,BAJA
44,3,Deportes,679.29,0.147,232,0,ALTA
44,4,Electronica,2154.96,0.054,215,0,BAJA
44,4,Ropa,444.51,0.008,135,0,BAJA
44,4,Alimentos,135.43,0.096,112,0,BAJA
44,4,Hogar,695.85,0.146,122,0,BAJA
44,4,Deportes,621.78,0.102,182,0,ALTA
44,5,Electronica,2326.11,0.047,75,0,BAJA
44,5,Ropa,387.87,0.09,223,0,BAJA
44,5,Alimentos,118.17,0.069,65,0,BAJA
44,5,Hogar,877.1,0.037,134,0,BAJA
44,5,Deportes,723.54,0.036,160,0,BAJA
44,6,Electronica,2201.41,0.137,214,0,ALTA
44,6,Ropa,389.08,0.127,137,0,BAJA
44,6,Alimentos,121.67,0.014,201,0,BAJA
44,6,Hogar,724.78,0.028,86,0,ALTA
44,6,Deportes,667.12,0.126,53,0,ALTA
45,1,Electronica,145.98,0.296,184,1,ALTA
45,1,Ropa,26.46,0.132,88,1,ALTA
45,1,Alimentos,7.12,0.224,317,1,ALTA
45,1,Hogar,41.68,0.156,120,1,ALTA
45,1,Deportes,39.11,0.308,388,1,ALTA
45,2,Electronica,129.32,0.082,340,1,ALTA
45,2,Ropa,26.63,0.284,305,1,ALTA
45,2,Alimentos,5.94,0.274,352,1,ALTA
45,2,Hogar,47.64,0.144,386,1,ALTA
45,2,Deportes,38.03,0.1,307,1,ALTA
45,3,Electronica,131.52,0.198,372,1,ALTA
45,3,Ropa,22.97,0.278,240,1,BAJA
45,3,Alimentos,6.13,0.244,154,1,ALTA
45,3,Hogar,48.23,0.228,321,1,ALTA
45,3,Deportes,36.56,0.172,394,1,ALTA
45,4,Electronica,134.06,0.156,260,1,ALTA
45,4,Ropa,28.92,0.13,366,1,ALTA
45,4,Alimentos,7.18,0.322,133,1,BAJA
45,4,Hogar,45.07,0.334,296,1,ALTA
45,4,Deportes,33.67,0.141,109,1,ALTA
45,5,Electronica,125.91,0.177,334,1,ALTA
45,5,Ropa,22.86,0.243,143,1,ALTA
45,5,Alimentos,6.17,0.327,342,1,ALTA
45,5,Hogar,47.85,0.211,296,1,ALTA
45,5,Deportes,38.58,0.13,92,1,ALTA
45,6,Electronica,159.61,0.221,346,1,BAJA
45,6,Ropa,23.12,0.258,295,1,BAJA
45,6,Alimentos,7.86,0.256,157,1,ALTA
45,6,Hogar,40.32,0.284,371,1,ALTA
45,6,Deportes,38.6,0.179,220,1,ALTA
46,1,Electronica,154.09,0.331,381,1,ALTA
46,1,Ropa,28.61,0.271,160,1,ALTA
46,1,Alimentos,6.38,0.324,282,1,ALTA
46,1,Hogar,42.38,0.266,88,1,ALTA
46,1,Deportes,38.56,0.094,343,1,ALTA
46,2,Electronica,149.38,0.172,270,1,ALTA
46,2,Ropa,21.99,0.323,166,1,ALTA
46,2,Alimentos,7.88,0.113,164,1,ALTA
46,2,Hogar,52.1,0.325,240,1,ALTA
46,2,Deportes,33.08,0.343,388,1,ALTA
46,3,Electronica,134.26,0.08,166,1,ALTA
46,3,Ropa,24.78,0.077,189,1,BAJA
46,3,Alimentos,7.12,0.175,133,1,BAJA
46,3,Hogar,50.11,0.134,102,1,ALTA
46,3,Deportes,32.91,0.224,377,1,ALTA
46,4,Electronica,157.55,0.184,306,1,ALTA
46,4,Ropa,23.2,0.158,283,1,ALTA
46,4,Alimentos,6.57,0.21,398,1,ALTA
46,4,Hogar,50.05,0.18,334,1,ALTA
46,4,Deportes,41.45,0.173,273,1,ALTA
46,5,Electronica,139.32,0.093,109,1,ALTA
46,5,Ropa,28.6,0.121,147,1,ALTA
46,5,Alimentos,6.49,0.202,132,1,BAJA
46,5,Hogar,50.54,0.309,210,1,ALTA
46,5,Deportes,33.17,0.053,86,1,ALTA
46,6,Electronica,140.95,0.205,82,1,ALTA
46,6,Ropa,27.4,0.183,314,1,ALTA
46,6,Alimentos,7.5,0.227,147,1,ALTA
46,6,Hogar,47.47,0.299,213,1,ALTA
46,6,Deportes,41.23,0.251,223,1,ALTA
47,1,Electronica,130.18,0.238,194,1,BAJA
47,1,Ropa,25.56,0.196,261,1,BAJA
47,1,Alimentos,7.48,0.185,309,1,ALTA
47,1,Hogar,45.61,0.108,228,1,ALTA
47,1,Deportes,41.77,0.151,384,1,ALTA
47,2,Electronica,148.49,0.213,121,1,ALTA
47,2,Ropa,22.62,0.237,222,1,ALTA
47,2,Alimentos,6.28,0.099,210,1,BAJA
47,2,Hogar,48.6,0.176,245,1,ALTA
47,2,Deportes,42.54,0.25,171,1,ALTA
47,3,Electronica,126.12,0.34,135,1,ALTA
47,3,Ropa,23.75,0.265,328,1,ALTA
47,3,Alimentos,7.09,0.318,105,1,ALTA
47,3,Hogar,42.26,0.346,204,1,ALTA
47,3,Deportes,39.2,0.114,156,1,ALTA
47,4,Electronica,139.05,0.12,86,1,BAJA
47,4,Ropa,29.31,0.152,188,1,ALTA
47,4,Alimentos,7.23,0.298,126,1,ALTA
47,4,Hogar,49.69,0.235,94,1,ALTA
47,4,Deportes,35.01,0.161,326,1,ALTA
47,5,Electronica,138.59,0.334,210,1,ALTA
47,5,Ropa,25.59,0.319,370,1,ALTA
47,5,Alimentos,7.76,0.298,333,1,ALTA
47,5,Hogar,49.9,0.305,172,1,BAJA
47,5,Deportes,32.13,0.095,252,1,ALTA
47,6,Electronica,149.08,0.055,387,1,ALTA
47,6,Ropa,22.96,0.054,261,1,BAJA
47,6,Alimentos,7.2,0.297,84,1,ALTA
47,6,Hogar,45.16,0.2,103,1,ALTA
47,6,Deportes,37.18,0.28,235,1,ALTA
48,1,Electronica,149.21,0.102,359,1,ALTA
48,1,Ropa,23.07,0.339,245,1,ALTA
48,1,Alimentos,7.12,0.126,337,1,ALTA
48,1,Hogar,52.28,0.201,225,1,ALTA
48,1,Deportes,33.05,0.214,254,1,ALTA
48,2,Electronica,139.34,0.306,353,1,ALTA
48,2,Ropa,22.56,0.129,359,1,ALTA
48,2,Alimentos,7.31,0.08,279,1,ALTA
48,2,Hogar,49.68,0.12,284,1,ALTA
48,2,Deportes,39.52,0.312,120,1,BAJA
48,3,Electronica,146.87,0.088,216,1,ALTA
48,3,Ropa,27.26,0.278,113,1,ALTA
48,3,Alimentos,7.5,0.331,244,1,BAJA
48,3,Hogar,46.2,0.168,351,1,ALTA
48,3,Deportes,36.83,0.197,350,1,ALTA
48,4,Electronica,138.72,0.15,237,1,ALTA
48,4,Ropa,23.7,0.288,235,1,ALTA
48,4,Alimentos,6.05,0.122,383,1,ALTA
48,4,Hogar,41.17,0.188,178,1,ALTA
48,4,Deportes,35.17,0.213,256,1,ALTA
48,5,Electronica,140.6,0.34,200,1,ALTA
48,5,Ropa,23.74,0.187,323,1,ALTA
48,5,Alimentos,7.29,0.056,214,1,ALTA
48,5,Hogar,43.5,0.219,145,1,ALTA
48,5,Deportes,32.15,0.306,143,1,BAJA
48,6,Electronica,136.54,0.267,182,1,BAJA
48,6,Ropa,22.83,0.104,237,1,ALTA
48,6,Alimentos,6.23,0.333,392,1,ALTA
48,6,Hogar,51.52,0.213,166,1,ALTA
48,6,Deportes,38.91,0.347,164,1,ALTA
49,1,Electronica,123.66,0.084,81,1,BAJA
49,1,Ropa,28.05,0.286,243,1,ALTA
49,1,Alimentos,6.14,0.135,200,1,ALTA
49,1,Hogar,46.26,0.073,85,1,ALTA
49,1,Deportes,36.15,0.33,283,1,ALTA
49,2,Electronica,141.42,0.158,114,1,BAJA
49,2,Ropa,27.9,0.1,243,1,ALTA
49,2,Alimentos,7.11,0.334,265,1,ALTA
49,2,Hogar,39.55,0.069,139,1,ALTA
49,2,Deportes,39.85,0.267,123,1,ALTA
49,3,Electronica,128.06,0.14,159,1,ALTA
49,3,Ropa,23.82,0.197,210,1,BAJA
49,3,Alimentos,5.94,0.093,96,1,ALTA
49,3,Hogar,39.6,0.301,243,1,ALTA
49,3,Deportes,37.83,0.101,143,1,ALTA
49,4,Electronica,146.86,0.113,117,1,BAJA
49,4,Ropa,22.03,0.291,332,1,ALTA
49,4,Alimentos,6.11,0.094,303,1,ALTA
49,4,Hogar,49.59,0.331,301,1,ALTA
49,4,Deportes,34.28,0.303,146,1,ALTA
49,5,Electronica,151.57,0.171,374,1,ALTA
49,5,Ropa,22.55,0.334,162,1,ALTA
49,5,Alimentos,6.66,0.065,238,1,ALTA
49,5,Hogar,44.36,0.155,327,1,ALTA
49,5,Deportes,33.28,0.16,199,1,ALTA
49,6,Electronica,155.65,0.262,140,1,ALTA
49,6,Ropa,22.67,0.238,118,1,BAJA
49,6,Alimentos,7.43,0.167,265,1,BAJA
49,6,Hogar,46.46,0.102,201,1,ALTA
49,6,Deportes,38.75,0.245,357,1,BAJA
50,1,Electronica,160.85,0.078,254,1,ALTA
50,1,Ropa,27.7,0.232,133,1,ALTA
50,1,Alimentos,7.31,0.076,228,1,ALTA
50,1,Hogar,43.49,0.055,208,1,ALTA
50,1,Deportes,38.48,0.249,347,1,ALTA
50,2,Electronica,126.59,0.305,130,1,BAJA
50,2,Ropa,28.36,0.2,394,1,ALTA
50,2,Alimentos,6.45,0.241,192,1,BAJA
50,2,Hogar,39.76,0.215,269,1,ALTA
50,2,Deportes,34.42,0.159,349,1,ALTA
50,3,Electronica,156.87,0.219,323,1,ALTA
50,3,Ropa,23.46,0.221,357,1,ALTA
50,3,Alimentos,7.82,0.186,125,1,ALTA
50,3,Hogar,51.91,0.146,357,1,BAJA
50,3,Deportes,35.47,0.075,311,1,ALTA
50,4,Electronica,154.98,0.183,235,1,ALTA
50,4,Ropa,24.81,0.183,200,1,ALTA
50,4,Alimentos,6.91,0.293,195,1,ALTA
50,4,Hogar,48.06,0.131,168,1,BAJA
50,4,Deportes,39.63,0.223,287,1,ALTA
50,5,Electronica,147.92,0.203,254,1,ALTA
50,5,Ropa,22.49,0.108,384,1,ALTA
50,5,Alimentos,6.79,0.066,92,1,ALTA
50,5,Hogar,46.24,0.203,157,1,ALTA
50,5,Deportes,33.45,0.107,227,1,ALTA
50,6,Electronica,132.03,0.244,288,1,ALTA
50,6,Ropa,25.08,0.072,167,1,BAJA
50,6,Alimentos,7.06,0.263,82,1,ALTA
50,6,Hogar,39.37,0.221,374,1,BAJA
50,6,Deportes,37.59,0.187,382,1,ALTA
51,1,Electronica,124.21,0.19,156,1,ALTA
51,1,Ropa,25.37,0.225,194,1,ALTA
51,1,Alimentos,6.86,0.299,292,1,ALTA
51,1,Hogar,51.69,0.324,146,1,ALTA
51,1,Deportes,39.83,0.298,389,1,BAJA
51,2,Electronica,147.17,0.209,88,1,ALTA
51,2,Ropa,25.4,0.239,258,1,ALTA
51,2,Alimentos,6.4,0.219,108,1,ALTA
51,2,Hogar,49.15,0.258,397,1,ALTA
51,2,Deportes,37.12,0.149,220,1,BAJA
51,3,Electronica,150.75,0.315,145,1,BAJA
51,3,Ropa,22.32,0.317,185,1,ALTA
51,3,Alimentos,6.88,0.332,95,1,ALTA
51,3,Hogar,50.6,0.169,143,1,ALTA
51,3,Deportes,35.87,0.325,323,1,ALTA
51,4,Electronica,163.79,0.19,98,1,ALTA
51,4,Ropa,25.22,0.097,383,1,ALTA
51,4,Alimentos,6.38,0.227,310,1,BAJA
51,4,Hogar,50.95,0.205,327,1,ALTA
51,4,Deportes,37.73,0.084,120,1,ALTA
51,5,Electronica,132.95,0.056,311,1,ALTA
51,5,Ropa,26.45,0.212,390,1,ALTA
51,5,Alimentos,5.96,0.216,349,1,BAJA
51,5,Hogar,44.76,0.146,370,1,ALTA
51,5,Deportes,38.43,0.172,93,1,ALTA
51,6,Electronica,132.8,0.256,383,1,ALTA
51,6,Ropa,28.12,0.067,252,1,ALTA
51,6,Alimentos,7.75,0.28,290,1,ALTA
51,6,Hogar,47.74,0.341,308,1,BAJA
51,6,Deportes,37.33,0.085,249,1,ALTA
52,1,Electronica,146.82,0.195,279,1,ALTA
52,1,Ropa,23.36,0.197,384,1,ALTA
52,1,Alimentos,6.7,0.264,273,1,ALTA
52,1,Hogar,44.49,0.115,389,1,ALTA
52,1,Deportes,35.71,0.058,150,1,ALTA
52,2,Electronica,130.05,0.074,231,1,ALTA
52,2,Ropa,22.51,0.292,326,1,BAJA
52,2,Alimentos,7.59,0.255,96,1,ALTA
52,2,Hogar,50.45,0.29,242,1,ALTA
52,2,Deportes,40.99,0.268,393,1,ALTA
52,3,Electronica,131.1,0.114,333,1,ALTA
52,3,Ropa,22.37,0.35,87,1,ALTA
52,3,Alimentos,6.58,0.302,257,1,BAJA
52,3,Hogar,51.56,0.053,104,1,ALTA
52,3,Deportes,39.03,0.316,227,1,ALTA
52,4,Electronica,129.51,0.291,389,1,ALTA
52,4,Ropa,25.67,0.076,258,1,ALTA
52,4,Alimentos,6.13,0.183,186,1,ALTA
52,4,Hogar,46.89,0.053,323,1,ALTA
52,4,Deportes,35.65,0.066,321,1,BAJA
52,5,Electronica,131.72,0.147,138,1,ALTA
52,5,Ropa,23.05,0.157,303,1,ALTA
52,5,Alimentos,6.62,0.176,259,1,ALTA
52,5,Hogar,39.93,0.314,104,1,ALTA
52,5,Deportes,41.82,0.131,198,1,ALTA
52,6,Electronica,159.22,0.333,316,1,ALTA
52,6,Ropa,27.02,0.173,230,1,ALTA
52,6,Alimentos,6.22,0.287,225,1,ALTA
52,6,Hogar,44.12,0.306,319,1,ALTA
52,6,Deportes,32.88,0.126,374,1,ALTA
